Origine;Tableau source;Nom standard;Espèce botanique;Code;1;2;3.1;3.2;4;5;Résistance insectes larves xylophages;Résistance termites;Notes
Européen;Tableau 4;Aulne d'Oregon / Aulne rouge;Alnus rubra;ALRU;L3;L2;L1;N;N;N;non;non;
Européen;Tableau 4;Bouleau d'Europe;Betula pendula;BTXX;L3;L2;N;N;N;N;non;non;
Européen;Tableau 4;Châtaignier;Castanea sativa;CTST;L3;L3;L3;L2;L1;N;oui;non;[Note T4-1] L1 en CE4 applicable uniquement hors sol (ni en contact, ni enfoui dans le sol)
Européen;Tableau 4;Chêne blanc US (Oak white);Quercus spp.;QCXA;L3;L3;L3;L2;L1;N;oui;non;
Européen;Tableau 4;Chêne rouvre et/ou pédonculé;Quercus petraea / Quercus robur;QCXE;L3;L3;L3;L2;L1;N;oui;non;[Note T4-1] L1 en CE4 applicable uniquement hors sol (ni en contact, ni enfoui dans le sol)
Européen;Tableau 4;Chêne rouge d'Amérique;Quercus spp.;QCXR;L3;L2;L1;N;N;N;oui;non;
Européen;Tableau 4;Érable sycomore;Acer pseudoplatanus;ACPS;L3;L2;N;N;N;N;non;non;
Européen;Tableau 4;Frêne;Fraxinus spp.;FXXX;L3;L2;L1;N;N;N;non;non;
Européen;Tableau 4;Frêne commun;Fraxinus excelsior L.;FXEX;L3;L2;N;N;N;N;non;non;
Européen;Tableau 4;Hêtre;Fagus sylvatica;FASY;L3;L2;N;N;N;N;non;non;
Européen;Tableau 4;Peuplier blanc;Populus alba L.;POAL;L3;L2;L1;N;N;N;non;non;
Européen;Tableau 4;Robinier faux Acacia;Robinia pseudoacacia L.;ROPS;L3;L3;L3;L2;L1;N;oui;oui;
Européen;Tableau 4;Cèdre;C. deodara;CDXX;L3;L3;L2;L1;N;N;oui;non;
Européen;Tableau 4;Douglas;Pseudotsuga menziesii;PSMN;L3;L3;L2;L1;N;N;oui;non;
Européen;Tableau 4;Épicéa;Picea abies;PCAB;L3;L2;L1;N;N;N;non;non;
Européen;Tableau 4;Western Hemlock;Tsuga heterophylla;TSHT;L3;L2;L1;N;N;N;non;non;
Européen;Tableau 4;Mélèze d'Europe;Larix decidua;LADC;L3;L3;L2;L1;N;N;oui;non;
Européen;Tableau 4;Pin maritime;Pinus pinaster;PNPN;L3;L3;L2;L1;N;N;oui;non;
